Codigo_PRTR,index,Nombre_del_complejo,Cantidad_total_atmosfera,Empresa_matriz,Municipio,Provincia,Longitud,Latitud,CNAE_2009,Actividad económica principal
9374,2383,ES229030000102-CERDOS-SAN MIGUEL DEL CINCA ,8.03,LA ROYA S.C.,San Miguel del Cinca,Huesca,0.047853,41.773056,Explotación de ganado porcino,
2890,2384,ES500740000127-CERDOS-CASPE ,8.03,PERENA S.C.,Caspe,Zaragoza,-0.022223,41.291951,Explotación de ganado porcino,
2823,2385,ES500740000058-CERDOS-CASPE ,8,SAT 629 PLANO BOTERO,Caspe,Zaragoza,-0.084219,41.225163,Explotación de ganado porcino,
1099,2386,ES222140000008-SECASTILLA ,8,S.A.T. Nº 1254 UBIERGO,Sedacastilla,Huesca,0.26959,42.18324,Explotación de ganado porcino,
956,2387,ES220170000016-CERDOS-ALCOLEA DE CINCA ,8,BENEDICTA GRUAS CUGOTA,Alcolea de Cinca,Huesca,0.114993,41.72139,Explotación de ganado porcino,
7674,2388,S.A.T. PORCINÁGUILA 1627_PRTR ,7.99,S.A.T. PORCINÁGUILA 1627,Aguilafuente,Segovia,-4.115442,41.203214,Avicultura,
930,2389,ES222390000012-CERDOS-TRAMACED ,7.963,JUAN ANTONIO PANZANO OLIVERA,Tramaced,Huesca,-0.298351,41.978577,Explotación de ganado porcino,
9976,2390,GRANJA SANT JOSEP ,7.954,GRUP MONTPEDRÓS SC,Masarac,Girona,2.971691,42.34271,Explotación de ganado porcino,
6235,2391,ES222250000003-CERDOS-TAMARITE DE LITERA ,7.95,"ABILLA NADAL E HIJOS, SC.",Tamarite de Litera,Huesca,0.418799,41.852692,Explotación de ganado porcino,
3575,2392,"GRANJA TORREPARDA, S.L. ",7.95,"GRANJA TORREPARDA, S.L.",Carmona,Sevilla,-5.689533,37.441286,Explotación de ganado porcino,
5813,2393,ES502520000137-CERDOS-TAUSTE ,7.913,MIGUEL SALAS LOPEZ,Tauste,Zaragoza,-1.25214,41.92132,Explotación de ganado porcino,
6973,2394,ES220180000055-CERDOS-ALCUBIERRE ,7.875,EXPLOTACIONES GANADERAS EL ABEJAR S.L.,Alcubierre,Huesca,-0.401217,41.835614,Explotación de ganado porcino,
8097,2395,"EL ESPINO DE YANGUAS, S.L ",7.87,"EL ESPINO DE YANGUAS, S.L.",Bernardos,Segovia,-4.348086,41.149994,Explotación de ganado porcino,
9383,2396,ES222350000018-CERDOS-TORRES DE ALCANADRE ,7.86,ANGEL ALLUE SANTOLARIA,Torres de Alcanadre,Huesca,-0.11048,41.957348,Explotación de ganado porcino,
9277,2397,ES220520000189-CERDOS-BELVER DE CINCA ,7.86,LOPEZ BUIL ANTONIO,Belver de Cinca,Huesca,0.249284,41.701755,Explotación de ganado porcino,
968,2398,ES221740000055-CERDOS-PERALTA DE ALCOFEA ,7.85,ANTONIO GRACIA LOPEZ,Peralta de Alcofea,Huesca,-0.091597,41.931064,Explotación de ganado porcino,
2661,2399,MOLINO REALENGO-ALBERIQUE ,7.836,SAT 7819 LOS MANZANOS,Alberic,Valencia,-0.519301,39.117096,Explotación de ganado porcino,
1255,2400,"GRANJA LA SILLETA, S.L. ",7.83,"GRANJA LA SILLETA, S.L.",Campillos,Malaga,-4.863624,37.030404,Explotación de ganado porcino,
9842,2401,ES220150000034-ALCALÁ DEL OBISPO ,7.825,"CANTAN CASBAS, JOSE ANTONIO",Alcalá del obispo,Huesca,-0.275184,42.089436,Explotación de ganado porcino,
9877,2402,ES440760000222-CELLA ,7.8,RAFAEL LANZUELA GONZALVO,Cella,Teruel,-1.25167,40.43194,Explotación de ganado porcino,
9868,2403,ES222030000014-SALILLAS ,7.8,EMETERIO SANTOLARIA LECINA,Salillas,Huesca,-0.215296,41.995073,Explotación de ganado porcino,
9850,2404,ES221740000071-PERALTA DE ALCOFEA ,7.8,CAMPO COLOMER S.C.,Peralta de Alcofea,Huesca,-0.104635,41.907114,Explotación de ganado porcino,
9688,2405,ES220290000003-ANTILLÓN ,7.8,JOSE MARIA MARTINEZ OTAL,Antillón,Huesca,-0.177595,42.028552,Explotación de ganado porcino,
9675,2406,ES221370000133-LANAJA ,7.8,"SOCIEDAD PORCINA NAJINA, S.L.",Lanaja,Huesca,0.20446,41.441121,Explotación de ganado porcino,
6978,2407,ES440760000234-CERDOS-CELLA ,7.8,"ROMERO LANZUELA, EMILIO",Cella,Teruel,-1.261498,40.439396,Explotación de ganado porcino,
6967,2408,ES221360000161-CERDOS-LALUEZA ,7.8,GANABA 2016 S.L.,Lazuela,Huesca,-0.293862,41.899234,Explotación de ganado porcino,
6927,2409,ES220170000052-CERDOS-ALCOLEA DE CINCA ,7.8,"CINCA AGROMEDIO S,L,",Alcolea de Cinca,Huesca,0.032546,41.719935,Explotación de ganado porcino,
6260,2410,ES222360000057-CERDOS-TORRES DE BARBUÉS ,7.8,ALBERTO REVUELTA LISA,Torres de Barbués,Huesca,-0.46852,41.950315,Explotación de ganado porcino,
5918,2411,ES502300000038-CERDOS-SÁDABA ,7.8,JOSE MIGUEL LIZALDE GIL,Sádaba,Zaragoza,-1.271051,42.28222,Explotación de ganado porcino,
3242,2412,ES501150000048-CERDOS-FUENTES DE EBRO ,7.8,MOLINOS SÁNCHEZ S.L.,Fuentes de Ebro,Zaragoza,-0.607604,41.530469,Explotación de ganado porcino,
3236,2413,ES500950000278-CERDOS-EJEA DE LOS CABALLEROS ,7.8,LASOBRAS GARCIA JESUS,Ejea de los Caballeros,Zaragoza,-1.226462,42.050626,Explotación de ganado porcino,
2958,2414,ES500680000022-CERDOS-CALATORAO ,7.8,J. GARCES C.B.,Calatorao,Zaragoza,-1.274544,41.509856,Explotación de ganado porcino,
