Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,Uso de energía (kg de equivalente de petróleo per cápita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afganistán,AFG,Uso de energía (kg de equivalente de petróleo per cápita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Uso de energía (kg de equivalente de petróleo per cápita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,637.459055349999,663.452748732826,635.787618890183,624.110610555833,586.690489749431,559.454490680621,532.949459995606,566.952139260275,555.745441183351,547.044587473231,531.589110099178,506.059343568321,501.904916698426,489.327132030627,500.924864763561,489.11169656993,483.62448254087,486.037648908344,480.094200000576,496.536490286525,491.802570695934,478.585591978615,479.819846181838,470.938621702554,455.666054700088,454.055175995032,449.254449933665,433.882494734075,441.163218779962,438.550019264464,442.978839594794,448.261720124591,467.644059295602,464.807847471059,433.572530712526,458.794164795152,471.694177230981,491.978616527178,515.217119303077,520.962358420099,521.780681377771,552.363633626363,533.761009664135,544.609322198063,,,,,
Albania,ALB,Uso de energía (kg de equivalente de petróleo per cápita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,785.161525934329,865.59248120703,762.725361728214,776.934748974948,826.952081040206,890.953359858712,923.728867504315,1010.81922139014,864.199459705589,1149.53609603604,989.200148492914,966.683283781289,1000.12201296783,1018.26314225619,916.555190602146,963.927169506077,921.893044018284,927.744518727469,896.437762376845,813.255695500012,572.781843950789,418.286629757142,412.378880465233,441.249295409311,417.034843013203,447.848870261137,384.594958328053,426.682819087559,576.183632282524,580.494764208924,597.265252650749,660.04798411018,648.168387059418,715.414483080102,719.584378082987,706.859407721917,679.861765101008,710.748498463347,732.316681804627,729.154372728518,764.968616564465,687.896259861998,801.329975005976,808.455839595944,,,,,
Andorra,AND,Uso de energía (kg de equivalente de petróleo per cápita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El mundo árabe,ARB,Uso de energía (kg de equivalente de petróleo per cápita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,408.343717981538,412.725681871427,442.982200792693,459.805251319223,484.28151322409,525.417813379319,562.114504236178,628.09420763415,730.194437858658,794.456502022156,887.245554747716,958.431229616326,1001.76126944115,994.326571597204,1019.48747196036,1035.9249298696,1090.47824788257,1151.63341026824,1178.46756609022,1080.3124016356,1093.30419986461,1147.93878063755,1181.73022168926,1212.73981745573,1266.25837053324,1287.89113613076,1307.66469062283,1297.94300743887,1282.56621207003,1284.96416906586,1351.65947128487,1387.55357019625,1379.58873496785,1428.5529514497,1483.60900532873,1550.24438938209,1581.7765684592,1666.03441837901,1712.02461488307,1772.40408442104,1738.29488061577,1848.8835910656,1805.69875378124,1961.36652960826,,,,,
Emiratos Árabes Unidos,ARE,Uso de energía (kg de equivalente de petróleo per cápita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,3647.08383939222,3175.80232888384,3306.77809763218,2869.17345347427,3533.44422133098,3857.61425378024,5585.63883026176,5709.46178851669,5977.20523445692,7093.69117879293,8089.50219312244,8299.10989469491,7582.07477823843,9333.63807998788,10040.8150119605,10774.6670999322,11281.1111053148,10905.9804580761,11871.7202078484,11170.2633732072,12124.9493457667,10890.4676380772,10820.0938826278,11355.4246562804,11463.2253870456,11511.7824007158,11558.5514056126,11223.9598551692,10870.447203235,10057.9350376604,12172.4239936852,11462.4757493797,10568.8275000727,10286.8206765522,9698.2879000049,8716.28969162144,8127.9450035809,8367.15153014597,7572.35443781093,7215.21889855284,7190.97033490384,7481.19387468009,7604.83968640702,7648.39988387457,,,,,
Argentina,ARG,Uso de energía (kg de equivalente de petróleo per cápita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,1387.0051894179,1387.08227236451,1420.33593069225,1425.81334554904,1389.27013053852,1416.10861369304,1432.13881732683,1438.34545647846,1496.10349606036,1498.78146126285,1440.78022436956,1426.35137040526,1429.28042593876,1456.76909306501,1368.43341961464,1428.87629693302,1483.7719739171,1510.83324552387,1446.65786822961,1412.17982926394,1435.48465794008,1489.3475938049,1474.3065455394,1548.62325810042,1551.74512470796,1589.91764656415,1621.9095044682,1658.49540389345,1668.22514401839,1669.52674484545,1570.89716364988,1510.31320228793,1598.78954106856,1728.2140026497,1720.67371317425,1853.04166635488,1858.39221787863,1937.64146650113,1865.33726382679,1928.65235658729,1952.05105293095,1936.80353979442,1967.02167752077,2029.92282543737,,,,,
Armenia,ARM,Uso de energía (kg de equivalente de petróleo per cápita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2178.54365998704,2317.9141164502,1199.7724537784,651.936839375958,419.821498343163,511.172244966973,562.16090986077,594.249636700394,609.996117331851,593.541256747281,656.308934968861,657.473218327544,618.454715228654,656.481656975704,698.084126476312,842.697522430884,864.883191636297,972.798366510742,1033.17182656044,903.700436135691,863.025962710426,944.040370751229,1029.94353083614,1000.95838464045,1015.90988609749,,,,,
Samoa Americana,ASM,Uso de energía (kg de equivalente de petróleo per cápita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
