"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Consumo de energía eléctrica (kWh per cápita)","EG.USE.ELEC.KH.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afganistán","AFG","Consumo de energía eléctrica (kWh per cápita)","EG.USE.ELEC.KH.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Consumo de energía eléctrica (kWh per cápita)","EG.USE.ELEC.KH.PC","","","","","","","","","","","","92.0411397407982","100.503284600976","113.59155248253","136.362695189444","139.379271070615","60.3062651615652","58.2712293437452","56.3491862805263","58.5748418324146","60.6620871186695","58.5617918334308","60.3153150637499","63.267291047646","52.211424234047","60.6304137614175","58.5265022827758","56.7860233412073","55.2039428806339","53.6020910751907","53.1717990956743","54.453864881429","53.4866416914862","52.0074532799074","50.6526077539812","49.264241775991","51.108559232355","69.3269103396615","73.3091959875781","71.9108476915011","75.2646782438055","82.6165706534257","86.0188441202124","95.8531033808002","87.5353079955401","109.295229983613","144.715351206936","133.267238650675","172.384913941671","189.257653842021","206.454410524705","207.01334286459","219.253430320483","280.214546709728","312.228824978484","","","","","",
"Albania","ALB","Consumo de energía eléctrica (kWh per cápita)","EG.USE.ELEC.KH.PC","","","","","","","","","","","","532.02843152625","568.403201603477","593.446745665183","591.032643383924","739.345093272667","908.67454726938","1067.81415577833","1098.48316581368","1065.76739836628","1142.96535512577","1123.96810630449","1096.87322889453","1070.69016441863","1018.1002875264","796.353973775973","1420.61479470727","1161.95167669011","1005.93953033667","1021.39350044285","552.252184819181","418.45358899715","453.64407387777","536.363825095196","596.407959255952","663.783995402449","904.346640328557","694.664802792381","734.849913537668","1414.70378393053","1449.64741324695","1351.23079642883","1578.16591882688","1469.26453867857","1797.52548696885","1722.07284972507","1218.36014605619","1213.12436932179","1617.7441562046","1835.68407241763","1943.34335385842","2205.70392004668","2118.32777605579","2533.25282927106","2309.36650255581","","","","","",
"Andorra","AND","Consumo de energía eléctrica (kWh per cápita)","EG.USE.ELEC.KH.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"El mundo árabe","ARB","Consumo de energía eléctrica (kWh per cápita)","EG.USE.ELEC.KH.PC","","","","","","","","","","","","196.208926793529","210.933919613768","230.225845744911","254.632324242859","282.106109964398","325.26715492551","369.282070153983","426.791643234424","515.198313100271","577.582128874325","624.834500182076","714.757734445355","770.990282219939","856.755133832059","883.588053622422","961.241119512701","999.605050022608","1036.43076772146","1056.5154082107","1072.6690531647","1037.59669894526","1070.85993895259","1125.03648197176","1151.94592738635","1258.85561641859","1296.55966409397","1340.52813232158","1433.16385242319","1484.22267224215","1517.00567471656","1580.09390173389","1648.29283004941","1718.91322200579","1765.84077141976","1840.43206287125","1940.40647495992","1995.37754806006","2061.82274008221","2119.80172646466","2296.78090321881","2332.70877096908","2371.59700926955","2427.83538098609","2501.47966402455","","","","","",
"Emiratos Árabes Unidos","ARE","Consumo de energía eléctrica (kWh per cápita)","EG.USE.ELEC.KH.PC","","","","","","","","","","","","681.152264560981","1314.30263404376","1700.35274083685","1876.13247163874","2321.71745081625","2829.49953129066","3737.02648012359","4190.26508423618","4982.02842181746","5752.76922518585","6118.85720538751","7117.06498764601","7677.09789256296","7905.89588174696","8169.59018097388","8239.19025429002","8282.1661832523","8482.13901587274","8232.69190539851","8500.72630538079","8151.13726174443","8284.41451591926","9099.27988959749","9414.28748880419","9402.96220844772","9512.7220941379","9925.64841455407","11232.3484811323","12219.010301298","12314.0512217053","12133.6389804885","12502.669760091","12366.0670507973","11958.9929631296","12279.9121664696","11693.3896887159","11451.913634302","11294.1881408344","10618.8012891146","10609.9564116347","10287.0564450193","10416.0148840531","10724.5015443726","11088.3502863794","","","","","",
"Argentina","ARG","Consumo de energía eléctrica (kWh per cápita)","EG.USE.ELEC.KH.PC","","","","","","","","","","","","874.459352335354","925.316921654107","962.266125350897","993.233054890324","1011.9936088521","1032.48922002898","1081.75122699867","1093.41667378945","1217.17287982878","1243.63146553578","1197.59274612661","1208.66630724677","1259.17370032247","1300.79964440371","1288.87478170294","1330.37062749088","1413.84726954153","1452.30585328234","1320.35657186199","1303.9778990247","1347.59212793615","1410.37729180718","1496.90414611833","1576.76706041903","1648.89513287663","1728.12102600965","1848.00199700321","1967.25444445027","2033.77181116476","2088.80813962555","2120.57994317578","2014.47655733814","2180.32681692764","2293.30936850936","2408.43252466624","2374.09747110948","2455.656576487","2772.84322218275","2730.12323163118","2877.65265331343","2929.07502855568","3000.60352326565","2967.37655805218","3074.70207056563","","","","","",
"Armenia","ARM","Consumo de energía eléctrica (kWh per cápita)","EG.USE.ELEC.KH.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2722.59311378676","2689.67362744768","1962.63699174252","1195.02555374374","1045.47751035656","1050.24386544446","1219.92752399533","1509.05384430509","1308.59105468","1307.53358182622","1297.56700485504","1269.22230959781","1236.33065236465","1320.44061960309","1440.32098962916","1521.49973719245","1639.78924432116","1773.15968189515","1669.40774200738","1661.3044182803","1726.25975778146","1807.03331574274","1892.01342889209","1931.2641152077","1961.61039526467","","","","","",
"Samoa Americana","ASM","Consumo de energía eléctrica (kWh per cápita)","EG.USE.ELEC.KH.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
